Name,Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
D.Watson,1,9/10/20,1,1,24.362,HOU,@,KAN,L 20-34,*,20,32,62.5,253,1,1,84.5,4,11,7.91,7.13,6,27,4.5,1,1,6,0,0,0,0,0,0,59,100%,0,0%,0,0%
D.Watson,2,9/20/20,2,2,25.006,HOU,,BAL,L 16-33,*,25,36,69.44,275,1,1,89.5,4,22,7.64,6.94,5,17,3.4,0,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%
D.Watson,3,9/27/20,3,3,25.013,HOU,@,PIT,L 21-28,*,19,27,70.37,264,2,1,110.7,5,33,9.78,9.59,1,5,5,0,0,0,0,0,0,0,0,0,47,100%,0,0%,0,0%
D.Watson,4,10/4/20,4,4,25.02,HOU,,MIN,L 23-31,*,20,33,60.61,300,2,0,110.7,3,10,9.09,10.3,5,9,1.8,0,0,0,2,0,0,1,-4,0,65,100%,0,0%,0,0%
D.Watson,5,10/11/20,5,5,25.027,HOU,,JAX,W 30-14,*,25,35,71.43,359,3,2,109.1,1,2,10.26,9.4,2,25,12.5,0,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%
D.Watson,6,10/18/20,6,6,25.034,HOU,@,TEN,L 36-42,*,28,37,75.68,335,4,0,138.9,2,15,9.05,11.22,4,26,6.5,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%
D.Watson,7,10/25/20,7,7,25.041,HOU,,GNB,L 20-35,*,29,39,74.36,309,2,0,114.2,3,23,7.92,8.95,7,38,5.43,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%
D.Watson,8,11/8/20,8,9,25.055,HOU,@,JAX,W 27-25,*,19,32,59.38,281,2,0,109,2,14,8.78,10.03,10,50,5,0,0,0,1,0,0,1,-4,0,64,100%,0,0%,0,0%
D.Watson,9,11/15/20,9,10,25.062,HOU,@,CLE,L 7-10,*,20,30,66.67,163,1,0,91.4,2,10,5.43,6.1,8,36,4.5,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%
D.Watson,10,11/22/20,10,11,25.069,HOU,,NWE,W 27-20,*,28,37,75.68,344,2,0,121.9,0,0,9.3,10.38,6,36,6,1,1,6,0,0,0,0,0,0,61,100%,0,0%,0,0%
D.Watson,11,11/26/20,11,12,25.073,HOU,@,DET,W 41-25,*,17,25,68,318,4,0,150.4,2,11,12.72,15.92,8,24,3,0,0,0,0,0,0,0,0,0,56,98%,0,0%,0,0%
D.Watson,12,12/6/20,12,13,25.083,HOU,,IND,L 20-26,*,26,38,68.42,341,0,1,85.5,5,33,8.97,7.79,7,38,5.43,1,1,6,2,1,0,0,-5,0,64,100%,0,0%,0,0%
D.Watson,13,12/13/20,13,14,25.09,HOU,@,CHI,L 7-36,*,21,30,70,219,1,0,101.9,6,52,7.3,7.97,7,38,5.43,0,0,0,0,0,0,0,0,0,65,98%,0,0%,0,0%
D.Watson,14,12/20/20,14,15,25.097,HOU,@,IND,L 20-27,*,33,41,80.49,373,2,0,120.8,5,31,9.1,10.07,6,25,4.17,0,0,0,1,1,0,0,0,0,69,100%,0,0%,0,0%
D.Watson,15,12/27/20,15,16,25.104,HOU,,CIN,L 31-37,*,24,33,72.73,324,3,0,133.9,1,2,9.82,11.64,5,38,7.6,0,0,0,2,1,0,0,0,0,52,100%,0,0%,0,0%
D.Watson,16,1/3/21,16,17,25.111,HOU,,TEN,L 38-41,*,28,39,71.79,365,3,1,115.9,4,24,9.36,9.74,3,12,4,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%
