Name,Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
J.Herbert,1,9/13/20,1,1,,LAC,@,CIN,W 16-13,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Herbert,2,9/20/20,2,2,22.194,LAC,,KAN,L 20-23,*,22,33,66.67,311,1,1,94.4,2,15,9.42,8.67,4,18,4.5,1,1,6,0,0,0,0,0,0,83,100%,0,0%,0,0%
J.Herbert,3,9/27/20,3,3,22.201,LAC,,CAR,L 16-21,*,35,49,71.43,330,1,1,88,2,11,6.73,6.22,3,15,5,0,0,0,2,1,0,0,-11,0,78,100%,0,0%,0,0%
J.Herbert,4,10/4/20,4,4,22.208,LAC,@,TAM,L 31-38,*,20,25,80,290,3,1,137.9,2,12,11.6,12.2,5,14,2.8,0,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%
J.Herbert,5,10/12/20,5,5,22.216,LAC,@,NOR,L 27-30,*,20,34,58.82,264,4,0,122.7,3,25,7.76,10.12,4,8,2,0,0,0,1,0,0,1,-1,0,71,100%,0,0%,0,0%
J.Herbert,6,10/25/20,6,7,22.229,LAC,,JAX,W 39-29,*,27,43,62.79,347,3,0,111.3,1,2,8.07,9.47,9,66,7.33,1,1,6,0,0,0,0,0,0,79,98%,0,0%,0,0%
J.Herbert,7,11/1/20,7,8,22.236,LAC,@,DEN,L 30-31,*,29,43,67.44,278,3,2,89.1,2,3,6.47,5.77,3,21,7,0,0,0,0,0,0,0,0,0,87,100%,0,0%,0,0%
J.Herbert,8,11/8/20,8,9,22.243,LAC,,LVR,L 26-31,*,28,42,66.67,326,2,0,105.9,2,14,7.76,8.71,5,24,4.8,0,0,0,1,0,0,0,0,0,78,99%,0,0%,0,0%
J.Herbert,9,11/15/20,9,10,22.25,LAC,@,MIA,L 21-29,*,20,32,62.5,187,2,1,86.3,2,13,5.84,5.69,4,10,2.5,1,1,6,0,0,0,0,0,0,63,98%,0,0%,0,0%
J.Herbert,10,11/22/20,10,11,22.257,LAC,,NYJ,W 34-28,*,37,49,75.51,366,3,0,116.5,3,19,7.47,8.69,2,11,5.5,0,0,0,0,0,0,0,0,0,82,100%,0,0%,0,0%
J.Herbert,11,11/29/20,11,12,22.264,LAC,@,BUF,L 17-27,*,31,52,59.62,316,1,1,75.5,3,25,6.08,5.6,2,-2,-1,0,0,0,2,0,0,2,0,0,83,100%,0,0%,0,0%
J.Herbert,12,12/6/20,12,13,22.271,LAC,,NWE,L 0-45,*,26,53,49.06,209,0,2,43.7,3,21,3.94,2.25,0,0,,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%
J.Herbert,13,12/13/20,13,14,22.278,LAC,,ATL,W 20-17,*,36,44,81.82,243,2,1,95.4,1,3,5.52,5.41,0,0,,0,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%
J.Herbert,14,12/17/20,14,15,22.282,LAC,@,LVR,W 30-27,*,22,32,68.75,314,2,0,121.1,1,8,9.81,11.06,4,14,3.5,1,1,6,1,0,0,0,0,0,66,100%,0,0%,0,0%
J.Herbert,15,12/27/20,15,16,22.292,LAC,,DEN,W 19-16,*,21,33,63.64,253,1,0,97.2,2,26,7.67,8.27,4,26,6.5,0,0,0,1,0,0,0,0,0,57,100%,0,0%,0,0%
J.Herbert,16,1/3/21,16,17,22.299,LAC,@,KAN,W 38-21,*,22,31,70.97,302,3,0,134.1,3,21,9.74,11.68,6,9,1.5,1,1,6,0,0,0,0,0,0,72,100%,0,0%,0,0%
