Name,Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
L.Jackson,1,9/13/20,1,1,23.25,BAL,,CLE,W 38-6,*,20,25,80,275,3,0,152.1,2,14,11,13.4,7,45,6.43,0,0,0,1,0,0,0,0,0,53,90%,0,0%,0,0%
L.Jackson,2,9/20/20,2,2,23.257,BAL,@,HOU,W 33-16,*,18,24,75,204,1,0,113.9,4,27,8.5,9.33,16,54,3.38,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%
L.Jackson,3,9/28/20,3,3,23.265,BAL,,KAN,L 20-34,*,15,28,53.57,97,1,0,73.1,4,27,3.46,4.18,9,83,9.22,0,0,0,2,1,0,0,0,0,56,100%,0,0%,0,0%
L.Jackson,4,10/4/20,4,4,23.271,BAL,@,WAS,W 31-17,*,14,21,66.67,193,2,1,107.8,1,2,9.19,8.95,7,53,7.57,1,1,6,0,0,0,0,0,0,47,82%,0,0%,0,0%
L.Jackson,5,10/11/20,5,5,23.278,BAL,,CIN,W 27-3,*,19,37,51.35,180,2,1,71.9,1,9,4.86,4.73,2,3,1.5,0,0,0,0,0,0,0,0,0,62,99%,0,0%,0,0%
L.Jackson,6,10/18/20,6,6,23.285,BAL,@,PHI,W 30-28,*,16,27,59.26,186,1,0,92.5,3,13,6.89,7.63,9,108,12,1,1,6,0,0,0,0,0,0,73,100%,0,0%,0,0%
L.Jackson,7,11/1/20,7,8,23.299,BAL,,PIT,L 24-28,*,13,28,46.43,208,2,2,65.8,4,16,7.43,5.64,16,65,4.06,0,0,0,3,2,0,1,0,0,82,100%,0,0%,0,0%
L.Jackson,8,11/8/20,8,9,23.306,BAL,@,IND,W 24-10,*,19,23,82.61,170,0,0,97.5,2,14,7.39,7.39,13,58,4.46,1,1,6,0,0,0,0,0,0,64,100%,0,0%,0,0%
L.Jackson,9,11/15/20,9,10,23.313,BAL,@,NWE,L 17-23,*,24,34,70.59,249,2,1,98.8,2,7,7.32,7.18,11,55,5,0,0,0,0,0,0,2,0,0,66,100%,0,0%,0,0%
L.Jackson,10,11/22/20,10,11,23.32,BAL,,TEN,L 24-30,*,17,29,58.62,186,1,1,74.8,1,9,6.41,5.55,13,51,3.92,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%
L.Jackson,11,12/2/20,11,12,,BAL,@,PIT,L 14-19,COVID-19 List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Jackson,12,12/8/20,12,13,23.336,BAL,,DAL,W 34-17,*,12,17,70.59,107,2,1,101.8,0,0,6.29,6,13,94,7.23,1,1,6,1,0,0,0,-8,0,55,100%,0,0%,0,0%
L.Jackson,13,12/14/20,13,14,23.342,BAL,@,CLE,W 47-42,*,11,17,64.71,163,1,0,115.6,4,22,9.59,10.76,9,124,13.78,2,2,12,0,0,0,0,0,0,49,82%,0,0%,0,0%
L.Jackson,14,12/20/20,14,15,23.348,BAL,,JAX,W 40-14,*,17,22,77.27,243,3,1,133.1,1,0,11.05,11.73,10,35,3.5,1,1,6,2,0,0,1,0,0,55,83%,0,0%,0,0%
L.Jackson,15,12/27/20,15,16,23.355,BAL,,NYG,W 27-13,*,17,26,65.38,183,2,0,111.5,0,0,7.04,8.58,13,80,6.15,0,0,0,1,1,0,0,-1,0,68,100%,0,0%,0,0%
L.Jackson,16,1/3/21,16,17,23.362,BAL,@,CIN,W 38-3,*,10,18,55.56,113,3,1,91,0,0,6.28,7.11,11,97,8.82,0,0,0,0,0,0,0,0,0,57,77%,0,0%,0,0%
