Name,Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
P.Mahomes,1,9/10/20,1,1,24.359,KAN,,HOU,W 34-20,*,24,32,75,211,3,0,123.3,1,8,6.59,8.47,0,0,,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%
P.Mahomes,2,9/20/20,2,2,25.003,KAN,@,LAC,W 23-20,*,27,47,57.45,302,2,0,90.9,1,13,6.43,7.28,6,54,9,0,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%
P.Mahomes,3,9/28/20,3,3,25.011,KAN,@,BAL,W 34-20,*,31,42,73.81,385,4,0,133.5,0,0,9.17,11.07,4,26,6.5,1,1,6,0,0,0,0,0,0,75,100%,0,0%,0,0%
P.Mahomes,4,10/5/20,4,4,25.018,KAN,,NWE,W 26-10,*,19,29,65.52,236,2,0,113.6,1,7,8.14,9.52,8,28,3.5,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%
P.Mahomes,5,10/11/20,5,5,25.024,KAN,,LVR,L 32-40,*,22,43,51.16,340,2,1,83.5,3,7,7.91,7.79,6,21,3.5,1,1,6,0,0,0,0,0,0,72,100%,0,0%,0,0%
P.Mahomes,6,10/19/20,6,6,25.032,KAN,@,BUF,W 26-17,*,21,26,80.77,225,2,0,128.4,1,4,8.65,10.19,10,36,3.6,0,0,0,1,0,0,1,-1,0,73,100%,0,0%,0,0%
P.Mahomes,7,10/25/20,7,7,25.038,KAN,@,DEN,W 43-16,*,15,23,65.22,200,1,0,107.2,3,25,8.7,9.57,0,0,,0,0,0,0,0,0,0,0,0,41,80%,0,0%,0,0%
P.Mahomes,8,11/1/20,8,8,25.045,KAN,,NYJ,W 35-9,*,31,42,73.81,416,5,0,144.4,0,0,9.9,12.29,0,0,,0,0,0,0,0,0,0,0,0,54,82%,0,0%,0,0%
P.Mahomes,9,11/8/20,9,9,25.052,KAN,,CAR,W 33-31,*,30,45,66.67,372,4,0,121.7,2,11,8.27,10.04,1,6,6,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%
P.Mahomes,10,11/22/20,10,11,25.066,KAN,@,LVR,W 35-31,*,34,45,75.56,348,2,1,102.8,0,0,7.73,7.62,4,16,4,0,0,0,0,0,0,0,0,0,78,100%,0,0%,0,0%
P.Mahomes,11,11/29/20,11,12,25.073,KAN,@,TAM,W 27-24,*,37,49,75.51,462,3,0,124.7,2,6,9.43,10.65,4,28,7,0,0,0,1,1,0,0,0,0,79,100%,0,0%,0,0%
P.Mahomes,12,12/6/20,12,13,25.08,KAN,,DEN,W 22-16,*,25,40,62.5,318,1,0,95.6,1,5,7.95,8.45,4,26,6.5,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%
P.Mahomes,13,12/13/20,13,14,25.087,KAN,@,MIA,W 33-27,*,24,34,70.59,393,2,3,91.9,3,39,11.56,8.76,5,9,1.8,0,0,0,1,0,0,1,-9,0,62,100%,0,0%,0,0%
P.Mahomes,14,12/20/20,14,15,25.094,KAN,@,NOR,W 32-29,*,26,47,55.32,254,3,0,92,4,22,5.4,6.68,7,37,5.29,0,0,0,2,1,0,0,0,0,98,100%,0,0%,0,0%
P.Mahomes,15,12/27/20,15,16,25.101,KAN,,ATL,W 17-14,*,24,44,54.55,278,2,1,79.5,0,0,6.32,6.2,3,21,7,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%
P.Mahomes,16,1/3/21,16,17,,KAN,,LAC,L 21-38,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
