Name,Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
K.Cousins,1,9/13/20,1,1,32.025,MIN,,GNB,L 34-43,*,19,25,76,259,2,1,118.6,2,11,10.36,10.16,4,34,8.5,0,0,0,0,0,0,0,0,0,52,100%,0,0%,0,0%
K.Cousins,2,9/20/20,2,2,32.032,MIN,@,IND,L 11-28,*,11,26,42.31,113,0,3,15.9,3,18,4.35,-0.85,0,0,,0,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%
K.Cousins,3,9/27/20,3,3,32.039,MIN,,TEN,L 30-31,*,16,27,59.26,251,3,2,96.4,2,13,9.3,8.19,2,14,7,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%
K.Cousins,4,10/4/20,4,4,32.046,MIN,@,HOU,W 31-23,*,16,22,72.73,260,1,0,127.1,3,12,11.82,12.73,4,5,1.25,0,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%
K.Cousins,5,10/11/20,5,5,32.053,MIN,@,SEA,L 26-27,*,27,39,69.23,249,2,1,92.8,3,1,6.38,6.26,1,2,2,0,0,0,2,1,0,0,0,0,87,100%,0,0%,0,0%
K.Cousins,6,10/18/20,6,6,32.06,MIN,,ATL,L 23-40,*,24,36,66.67,343,3,3,90.4,1,10,9.53,7.44,0,0,,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%
K.Cousins,7,11/1/20,7,8,32.074,MIN,@,GNB,W 28-22,*,11,14,78.57,160,1,0,138.1,1,9,11.43,12.86,0,0,,0,0,0,0,0,0,0,0,0,52,100%,0,0%,0,0%
K.Cousins,8,11/8/20,8,9,32.081,MIN,,DET,W 34-20,*,13,20,65,220,3,0,141.7,1,8,11,14,0,0,,0,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%
K.Cousins,9,11/16/20,9,10,32.089,MIN,@,CHI,W 19-13,*,25,36,69.44,292,2,1,100.7,1,6,8.11,7.97,1,-1,-1,0,0,0,0,0,0,0,0,0,73,99%,0,0%,0,0%
K.Cousins,10,11/22/20,10,11,32.095,MIN,,DAL,L 28-31,*,22,30,73.33,314,3,0,140.1,2,9,10.47,12.47,1,4,4,0,0,0,1,1,0,0,0,0,64,98%,0,0%,0,0%
K.Cousins,11,11/29/20,11,12,32.102,MIN,,CAR,W 28-27,*,34,45,75.56,307,3,0,115.7,2,16,6.82,8.16,3,19,6.33,0,0,0,1,1,0,0,0,0,73,100%,0,0%,0,0%
K.Cousins,12,12/6/20,12,13,32.109,MIN,,JAX,W 27-24,*,28,43,65.12,305,3,1,99.5,4,30,7.09,7.44,3,12,4,0,0,0,1,1,0,0,-1,0,91,100%,0,0%,0,0%
K.Cousins,13,12/13/20,13,14,32.116,MIN,@,TAM,L 14-26,*,24,37,64.86,225,1,0,90.5,6,52,6.08,6.62,5,41,8.2,0,0,0,2,1,0,1,0,0,79,100%,0,0%,0,0%
K.Cousins,14,12/20/20,14,15,32.123,MIN,,CHI,L 27-33,*,24,35,68.57,271,2,1,98.6,3,22,7.74,7.6,3,25,8.33,0,0,0,1,0,0,0,0,0,68,100%,0,0%,0,0%
K.Cousins,15,12/25/20,15,16,32.128,MIN,@,NOR,L 33-52,*,27,41,65.85,291,3,0,110.9,2,17,7.1,8.56,0,0,,0,0,0,1,0,0,0,0,0,64,100%,0,0%,0,0%
K.Cousins,16,1/3/21,16,17,32.137,MIN,@,DET,W 37-35,*,28,40,70,405,3,0,127.6,3,22,10.13,11.63,5,1,0.2,1,1,6,0,0,0,0,0,0,80,100%,0,0%,0,0%
