Name,Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
M.Ryan,1,9/13/20,1,1,35.119,ATL,,SEA,L 25-38,*,37,54,68.52,450,2,1,98.5,2,16,8.33,8.24,1,-1,-1,0,0,0,0,0,0,0,0,0,79,99%,0,0%,0,0%
M.Ryan,2,9/20/20,2,2,35.126,ATL,@,DAL,L 39-40,*,24,36,66.67,273,4,0,126.3,1,6,7.58,9.81,4,16,4,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%
M.Ryan,3,9/27/20,3,3,35.133,ATL,,CHI,L 26-30,*,19,38,50,238,1,1,67.7,2,11,6.26,5.61,1,-1,-1,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%
M.Ryan,4,10/5/20,4,4,35.141,ATL,@,GNB,L 16-30,*,28,39,71.79,285,0,0,92.4,4,36,7.31,7.31,2,10,5,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%
M.Ryan,5,10/11/20,5,5,35.147,ATL,,CAR,L 16-23,*,21,37,56.76,226,0,1,63.6,2,19,6.11,4.89,1,-1,-1,0,0,0,1,0,0,0,0,0,65,100%,0,0%,0,0%
M.Ryan,6,10/18/20,6,6,35.154,ATL,@,MIN,W 40-23,*,30,40,75,371,4,0,136.6,2,8,9.28,11.28,4,8,2,0,0,0,0,0,0,0,0,0,80,100%,0,0%,0,0%
M.Ryan,7,10/25/20,7,7,35.161,ATL,,DET,L 22-23,*,31,42,73.81,338,1,0,105.1,2,16,8.05,8.52,0,0,,0,0,0,1,1,0,0,0,0,75,100%,0,0%,0,0%
M.Ryan,8,10/29/20,8,8,35.165,ATL,@,CAR,W 25-17,*,21,30,70,281,0,1,85.6,2,11,9.37,7.87,6,27,4.5,1,1,6,0,0,0,0,0,0,70,100%,0,0%,0,0%
M.Ryan,9,11/8/20,9,9,35.175,ATL,,DEN,W 34-27,*,25,35,71.43,284,3,1,112.1,2,13,8.11,8.54,3,10,3.33,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%
M.Ryan,10,11/22/20,10,11,35.189,ATL,@,NOR,L 9-24,*,19,37,51.35,232,0,2,48.5,8,36,6.27,3.84,0,0,,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%
M.Ryan,11,11/29/20,11,12,35.196,ATL,,LVR,W 43-6,*,22,39,56.41,185,2,1,75.3,1,6,4.74,4.62,1,5,5,0,0,0,0,0,0,0,0,0,69,88%,0,0%,0,0%
M.Ryan,12,12/6/20,12,13,35.203,ATL,,NOR,L 16-21,*,19,39,48.72,273,1,0,80.4,3,11,7,7.51,0,0,,0,0,0,1,1,0,0,0,0,67,100%,0,0%,0,0%
M.Ryan,13,12/13/20,13,14,35.21,ATL,@,LAC,L 17-20,*,21,32,65.63,224,1,3,57.3,2,14,7,3.41,1,3,3,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%
M.Ryan,14,12/20/20,14,15,35.217,ATL,,TAM,L 27-31,*,34,49,69.39,356,3,0,110.6,3,24,7.27,8.49,1,16,16,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%
M.Ryan,15,12/27/20,15,16,35.224,ATL,@,KAN,L 14-17,*,27,35,77.14,300,2,0,121.1,4,23,8.57,9.71,1,-1,-1,0,0,0,1,0,0,1,0,0,68,100%,0,0%,0,0%
M.Ryan,16,1/3/21,16,17,35.231,ATL,@,TAM,L 27-44,*,29,44,65.91,265,2,0,97.3,1,7,6.02,6.93,3,1,0.33,1,1,6,2,1,0,0,-3,0,72,100%,0,0%,0,0%
