Name,Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
R.Wilson,1,9/13/20,1,1,31.289,SEA,@,ATL,W 38-25,*,31,35,88.57,322,4,0,143.1,3,23,9.2,11.49,3,29,9.67,0,0,0,1,0,0,0,0,0,62,100%,0,0%,0,0%
R.Wilson,2,9/20/20,2,2,31.296,SEA,,NWE,W 35-30,*,21,28,75,288,5,1,132.1,2,13,10.29,12.25,5,39,7.8,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%
R.Wilson,3,9/27/20,3,3,31.303,SEA,,DAL,W 38-31,*,27,40,67.5,315,5,0,130.7,4,20,7.88,10.38,6,22,3.67,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%
R.Wilson,4,10/4/20,4,4,31.31,SEA,@,MIA,W 31-23,*,24,34,70.59,360,2,1,112.4,2,17,10.59,10.44,4,5,1.25,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%
R.Wilson,5,10/11/20,5,5,31.317,SEA,,MIN,W 27-26,*,20,32,62.5,217,3,1,100.7,4,27,6.78,7.25,5,58,11.6,0,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%
R.Wilson,6,10/25/20,6,7,31.331,SEA,@,ARI,L 34-37,*,33,50,66,388,3,3,84.4,2,16,7.76,6.26,6,84,14,0,0,0,0,0,0,0,0,0,84,100%,0,0%,0,0%
R.Wilson,7,11/1/20,7,8,31.338,SEA,,SFO,W 37-27,*,27,37,72.97,261,4,0,128.3,2,12,7.05,9.22,6,23,3.83,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%
R.Wilson,8,11/8/20,8,9,31.345,SEA,@,BUF,L 34-44,*,28,41,68.29,390,2,2,94.6,5,28,9.51,8.29,2,5,2.5,1,1,6,2,2,0,0,0,0,65,100%,0,0%,0,0%
R.Wilson,9,11/15/20,9,10,31.352,SEA,@,LAR,L 16-23,*,22,37,59.46,248,0,2,57,6,28,6.7,4.27,8,60,7.5,0,0,0,1,1,0,0,-4,0,67,100%,0,0%,0,0%
R.Wilson,10,11/19/20,10,11,31.356,SEA,,ARI,W 28-21,*,23,28,82.14,197,2,0,119.8,3,15,7.04,8.46,10,42,4.2,0,0,0,2,0,0,0,-12,0,66,100%,0,0%,0,0%
R.Wilson,11,11/30/20,11,12,32.001,SEA,@,PHI,W 23-17,*,22,31,70.97,230,1,0,102.9,2,5,7.42,8.06,6,12,2,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%
R.Wilson,12,12/6/20,12,13,32.007,SEA,,NYG,L 12-17,*,27,43,62.79,263,1,1,78,5,47,6.12,5.53,7,45,6.43,0,0,0,1,1,0,0,-2,0,72,100%,0,0%,0,0%
R.Wilson,13,12/13/20,13,14,32.014,SEA,,NYJ,W 40-3,*,21,27,77.78,206,4,1,122.6,0,0,7.63,8.93,1,-1,-1,0,0,0,0,0,0,0,0,0,55,75%,0,0%,0,0%
R.Wilson,14,12/20/20,14,15,32.021,SEA,@,WAS,W 20-15,*,18,27,66.67,121,1,1,73.2,0,0,4.48,3.56,6,52,8.67,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%
R.Wilson,15,12/27/20,15,16,32.028,SEA,,LAR,W 20-9,*,20,32,62.5,225,1,0,93.9,5,28,7.03,7.66,3,9,3,1,1,6,0,0,0,0,0,0,63,100%,0,0%,0,0%
R.Wilson,16,1/3/21,16,17,32.035,SEA,@,SFO,W 26-23,*,20,36,55.56,181,2,0,87.8,2,22,5.03,6.14,5,29,5.8,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%
