Name,Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
B.Roethlisberger,1,9/14/20,1,1,38.196,PIT,@,NYG,W 26-16,*,21,32,65.63,229,3,0,117.8,2,21,7.16,9.03,3,9,3,0,1,0,0,0,-5,0,64,100%,0,0%,0,0%
B.Roethlisberger,2,9/20/20,2,2,38.202,PIT,,DEN,W 26-21,*,29,41,70.73,311,2,1,98.7,1,10,7.59,7.46,3,-2,-0.67,0,1,0,0,0,-8,0,65,100%,0,0%,0,0%
B.Roethlisberger,3,9/27/20,3,3,38.209,PIT,,HOU,W 28-21,*,23,36,63.89,237,2,0,101.3,2,19,6.58,7.69,5,-3,-0.6,0,0,0,0,0,0,0,80,100%,0,0%,0,0%
B.Roethlisberger,4,10/11/20,4,5,38.223,PIT,,PHI,W 38-29,*,27,34,79.41,239,3,0,125.4,1,8,7.03,8.79,2,-2,-1,0,0,0,0,0,0,0,75,99%,0,0%,0,0%
B.Roethlisberger,5,10/18/20,5,6,38.23,PIT,,CLE,W 38-7,*,14,22,63.64,162,1,0,100.9,2,20,7.36,8.27,3,5,1.67,0,0,0,0,0,0,0,58,89%,0,0%,0,0%
B.Roethlisberger,6,10/25/20,6,7,38.237,PIT,@,TEN,W 27-24,*,32,49,65.31,268,2,3,67.4,0,0,5.47,3.53,1,-1,-1,0,0,0,0,0,0,0,79,100%,0,0%,0,0%
B.Roethlisberger,7,11/1/20,7,8,38.244,PIT,@,BAL,W 28-24,*,21,32,65.63,182,2,0,101.3,2,9,5.69,6.94,0,0,,0,1,0,0,2,0,0,53,98%,0,0%,0,0%
B.Roethlisberger,8,11/8/20,8,9,38.251,PIT,@,DAL,W 24-19,*,29,42,69.05,306,3,0,113.8,0,0,7.29,8.71,1,8,8,0,0,0,0,0,0,0,65,94%,0,0%,0,0%
B.Roethlisberger,9,11/15/20,9,10,38.258,PIT,,CIN,W 36-10,*,27,46,58.7,333,4,0,110.1,0,0,7.24,8.98,1,0,0,0,0,0,0,0,0,0,69,95%,0,0%,0,0%
B.Roethlisberger,10,11/22/20,10,11,38.265,PIT,@,JAX,W 27-3,*,32,46,69.57,267,2,1,89.7,0,0,5.8,5.7,0,0,,0,0,0,0,0,0,0,69,92%,0,0%,0,0%
B.Roethlisberger,11,12/2/20,11,12,38.275,PIT,,BAL,W 19-14,*,36,51,70.59,266,1,1,81,0,0,5.22,4.73,1,-1,-1,0,0,0,0,0,0,0,72,100%,0,0%,0,0%
B.Roethlisberger,12,12/7/20,12,13,38.28,PIT,,WAS,L 17-23,*,33,53,62.26,305,2,1,82.7,0,0,5.75,5.66,1,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%
B.Roethlisberger,13,12/13/20,13,14,38.286,PIT,@,BUF,L 15-26,*,21,37,56.76,187,2,2,65.9,1,10,5.05,3.7,0,0,,0,0,0,0,0,0,0,57,100%,0,0%,0,0%
B.Roethlisberger,14,12/21/20,14,15,38.294,PIT,@,CIN,L 17-27,*,20,38,52.63,170,1,1,62.4,1,12,4.47,3.82,2,-1,-0.5,0,2,1,0,0,0,0,65,100%,0,0%,0,0%
B.Roethlisberger,15,12/27/20,15,16,38.3,PIT,,IND,W 28-24,*,34,49,69.39,341,3,0,109.3,1,9,6.96,8.18,2,-1,-0.5,0,0,0,0,0,0,0,68,100%,0,0%,0,0%
B.Roethlisberger,16,1/3/21,16,17,,PIT,@,CLE,L 22-24,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,
