Name,Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
T.Brady,1,9/13/20,1,1,43.041,TAM,@,NOR,L 23-34,*,23,36,63.89,239,2,2,78.4,3,15,6.64,5.25,3,9,3,1,1,6,1,0,0,1,0,0,70,100%,0,0%,0,0%
T.Brady,2,9/20/20,2,2,43.048,TAM,,CAR,W 31-17,*,23,35,65.71,217,1,1,80.3,0,0,6.2,5.49,1,0,0,0,0,0,1,1,0,0,-3,0,61,100%,0,0%,0,0%
T.Brady,3,9/27/20,3,3,43.055,TAM,@,DEN,W 28-10,*,25,38,65.79,297,3,0,115.8,2,12,7.82,9.39,5,0,0,0,0,0,1,0,0,0,-1,0,68,100%,0,0%,0,0%
T.Brady,4,10/4/20,4,4,43.062,TAM,,LAC,W 38-31,*,30,46,65.22,369,5,1,117,0,0,8.02,9.22,3,-3,-1,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%
T.Brady,5,10/8/20,5,5,43.066,TAM,@,CHI,L 19-20,*,25,41,60.98,253,1,0,86.7,3,20,6.17,6.66,3,0,0,0,0,0,1,0,0,1,-2,0,71,100%,0,0%,0,0%
T.Brady,6,10/18/20,6,6,43.076,TAM,,GNB,W 38-10,*,17,27,62.96,166,2,0,104.9,0,0,6.15,7.63,0,0,,0,0,0,0,0,0,0,0,0,55,86%,0,0%,0,0%
T.Brady,7,10/25/20,7,7,43.083,TAM,@,LVR,W 45-20,*,33,45,73.33,369,4,0,127,0,0,8.2,9.98,1,1,1,1,1,6,0,0,0,0,0,0,72,100%,0,0%,0,0%
T.Brady,8,11/2/20,8,8,43.091,TAM,@,NYG,W 25-23,*,28,40,70,279,2,0,106.1,2,16,6.98,7.98,1,-1,-1,0,0,0,0,0,0,1,0,0,70,100%,0,0%,0,0%
T.Brady,9,11/8/20,9,9,43.097,TAM,,NOR,L 3-38,*,22,38,57.89,209,0,3,40.4,3,23,5.5,1.95,0,0,,0,0,0,0,0,0,0,0,0,49,98%,0,0%,0,0%
T.Brady,10,11/15/20,10,10,43.104,TAM,@,CAR,W 46-23,*,28,39,71.79,341,3,0,124,1,7,8.74,10.28,2,2,1,1,1,6,0,0,0,0,0,0,75,94%,0,0%,0,0%
T.Brady,11,11/23/20,11,11,43.112,TAM,,LAR,L 24-27,*,26,48,54.17,216,2,2,62.5,1,7,4.5,3.46,0,0,,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%
T.Brady,12,11/29/20,12,12,43.118,TAM,,KAN,L 24-27,*,27,41,65.85,345,3,2,96.1,1,3,8.41,7.68,1,-1,-1,0,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%
T.Brady,13,12/13/20,13,14,43.132,TAM,,MIN,W 26-14,*,15,23,65.22,196,2,0,120.9,0,0,8.52,10.26,3,-2,-0.67,0,0,0,0,0,0,0,0,0,51,100%,0,0%,0,0%
T.Brady,14,12/20/20,14,15,43.139,TAM,@,ATL,W 31-27,*,31,45,68.89,390,2,0,110.4,3,25,8.67,9.56,2,-2,-1,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%
T.Brady,15,12/26/20,15,16,43.145,TAM,@,DET,W 47-7,*,22,27,81.48,348,4,0,158.3,1,7,12.89,15.85,0,0,,0,0,0,0,0,0,0,0,0,43,56%,0,0%,0,0%
T.Brady,16,1/3/21,16,17,43.153,TAM,,ATL,W 44-27,*,26,41,63.41,399,4,1,117.8,1,8,9.73,10.59,5,3,0.6,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%
